class	order	family	genus	species	common_name	female_maturity_d	litter_or_clutch_size_n	litters_or_clutches_per_y	adult_body_mass_g	maximum_longevity_y	egg_mass_g	incubation_d	fledging_age_d	longevity_y	adult_svl_cm
Aves	Accipitriformes	Accipitridae	Harpagus	diodon	Rufous-thighed Kite	NA	2	NA	200	NA	NA	NA	NA	NA	NA
Aves	Accipitriformes	Accipitridae	Harpia	harpyja	Harpy Eagle	1817.34	2	0.5	4800	16.8	143	55	144.5	16.8	95.5
Aves	Accipitriformes	Accipitridae	Harpyopsis	novaeguineae	Papuan Eagle	NA	NA	NA	2000	30	NA	NA	NA	30	NA
Aves	Accipitriformes	Accipitridae	Helicolestes	hamatus	Slender-billed Kite	NA	2	NA	424.5	NA	NA	NA	NA	NA	38
Aves	Accipitriformes	Accipitridae	Henicopernis	longicauda	Long-tailed Honey Buzzard	NA	NA	NA	588.5	NA	NA	NA	NA	NA	NA
Aves	Accipitriformes	Accipitridae	Hieraaetus	ayresii	Ayres's Hawk-Eagle	NA	1	NA	909.5	NA	NA	NA	NA	NA	50.5
Aves	Accipitriformes	Accipitridae	Hieraaetus	morphnoides	Little Eagle	NA	1.825	1	791	10.3	62	36.5	60.88	10.3	46.5
Aves	Accipitriformes	Accipitridae	Hieraaetus	pennatus	Booted Eagle	726.936	2	1	842	12	60.3	36.25	52	12	46.5
Aves	Accipitriformes	Accipitridae	Hieraaetus	wahlbergi	Wahlberg's Eagle	1090.404	1	1	787	22.3	73	45.5	72.5	11.8	57
Aves	Accipitriformes	Accipitridae	Hieraaetus	weiskei	Pygmy Eagle	NA	1.825	1	791	10.3	62	36.5	60.88	10.3	46.5
Aves	Accipitriformes	Accipitridae	Ictinaetus	malaiensis	Black Eagle	NA	1	NA	1027.75	NA	NA	NA	NA	NA	72.5
Aves	Accipitriformes	Accipitridae	Ictinia	mississippiensis	Mississippi Kite	365	2	1	281	11.2	27	30.5	34	9.583333333	34
Aves	Accipitriformes	Accipitridae	Ictinia	plumbea	Plumbeous Kite	NA	1.45	NA	245.25	NA	27	NA	30	NA	33.5
